Date,Open,High,Low,Close,Adj Close,Volume
2026-01-02,100.00,101.20,99.60,100.80,100.80,1050000
2026-01-05,100.90,102.10,100.40,101.75,101.75,1125000
2026-01-06,101.70,102.40,100.90,101.20,101.20,980000
2026-01-07,101.30,103.00,101.10,102.65,102.65,1210000
2026-01-08,102.70,103.20,101.80,102.05,102.05,1095000
2026-01-09,102.10,104.00,101.90,103.60,103.60,1320000
2026-01-12,103.55,104.20,102.70,103.10,103.10,1015000
2026-01-13,103.00,103.80,102.20,103.45,103.45,970000
2026-01-14,103.50,105.10,103.20,104.80,104.80,1400000
2026-01-15,104.85,105.30,103.90,104.20,104.20,1180000
2026-01-16,104.10,104.90,103.30,104.65,104.65,995000
2026-01-20,104.70,106.20,104.40,105.90,105.90,1510000
2026-01-21,105.85,106.40,105.00,105.30,105.30,1075000
2026-01-22,105.25,106.00,104.60,105.75,105.75,1020000
2026-01-23,105.80,107.30,105.50,106.95,106.95,1450000
2026-01-26,107.00,107.60,106.10,106.45,106.45,1165000
2026-01-27,106.40,107.10,105.70,106.85,106.85,1035000
2026-01-28,106.90,108.40,106.60,108.05,108.05,1580000
2026-01-29,108.00,108.70,107.20,107.55,107.55,1240000
2026-01-30,107.50,108.20,106.80,107.90,107.90,1100000
2026-02-02,107.95,109.50,107.60,109.15,109.15,1620000
2026-02-03,109.10,109.80,108.20,108.65,108.65,1190000
2026-02-04,108.60,109.30,107.90,108.95,108.95,1060000
2026-02-05,109.00,110.60,108.70,110.25,110.25,1710000
2026-02-06,110.20,110.90,109.30,109.75,109.75,1275000
2026-02-09,109.70,110.40,108.90,110.05,110.05,1130000
2026-02-10,110.10,111.70,109.80,111.35,111.35,1800000
2026-02-11,111.30,112.00,110.40,110.85,110.85,1310000
2026-02-12,110.80,111.50,110.00,111.10,111.10,1175000
2026-02-13,111.15,112.80,110.90,112.45,112.45,1880000

